workerid,proliferate.condition,time_in_minutes,error
7,condition1,6.3196,
8,condition1,8.292533333333333,
4,condition1,15.682133333333333,
2,condition1,18.46238333333333,
6,condition1,6.256233333333333,
5,condition1,12.30425,
9,condition1,10.384733333333331,
3,condition1,10.575083333333334,
